ship_code,cabin_category
WI,O1
WI,SL
WI,DX
WI,VI
WI,CV
WI,R2
WI,G1
WI,O2
WI,ME
WI,G2
WI,R1
WH,SL
WH,O1
WH,R2
WH,SV
WH,CV
WH,ME
WH,DX
WH,R1
WH,G2
WH,VI
WH,G1
WH,O2
SS,SL
SS,O1
SS,R2
SS,SV
SS,CV
SS,ME
SS,DX
SS,R1
SS,G2
SS,VI
SS,O2
SS,G1
SN,O1
SN,SL
SN,MS
SN,DX
SN,PM
SN,CV
SN,SV
SN,SS
SN,PV
SN,O2
SN,G1
SN,OT
SN,ME
SN,J2
SN,JG
SM,PA
SM,S2
SM,O1
SM,SL
SM,DX
SM,VI
SM,CV
SM,SV
SM,R2
SM,G1
SM,O2
SM,G2
SM,R1
SL,VI
SL,G2
SL,R1
SL,SL
SL,O2
SL,G1
SL,CV
SL,R2
SL,SV
SL,O1
SL,PA
SL,S2
SL,DX
RA,PM
RA,J2
RA,ME
RA,OT
RA,G1
RA,PV
RA,O2
RA,O1
RA,JG
RA,DX
RA,SL
RA,MS
RA,CV
RA,SV
RA,SS
OR,ME
OR,G1
OR,O1
OR,R1
OR,DX
OR,SL
OR,SV
OR,CV
MO,CV
MO,R2
MO,SV
MO,DX
MO,SL
MO,G2
MO,R1
MO,O1
MO,PA
MO,S2
MO,O2
MO,G1
MO,VI
EV,G1
EV,PV
EV,SV
EV,SS
EV,CV
EV,MS
EV,SL
EV,DX
EV,O1
E4,ME
E4,VI
E4,G2
E4,R1
E4,SL
E4,DV
E4,G1
E4,O2
E4,R2
E4,O1
E4,VR
DA,VI
DA,R1
DA,G2
DA,SL
DA,O2
DA,G1
DA,SV
DA,R2
DA,CV
DA,PA
DA,O1
DA,S2
DA,DX